Record,Vital,Lag,MAE,RMSE,MAPE
p001430-2136-03-24-10-26n,HR,1,0.13381424589980923,0.15805982462487048,0.15968287100215903
p001430-2136-03-24-10-26n,RESP,1,0.2762162730127393,0.2859274139191049,1.238637995572822
p001430-2136-03-24-10-26n,SpO2,1,7.886772835613361,8.172556471685098,8.301866142750907
p001449-2147-10-13-15-08n,HR,1,0.46395473835401757,0.5641743026276259,0.4913857958792342
p001449-2147-10-13-15-08n,RESP,1,1.0668629626043917,1.6012034455329913,8.203710692557543
p001449-2147-10-13-15-08n,SpO2,1,0.7675575483842778,0.8101942156697042,0.7837001496298451
p001474-2106-09-12-19-32n,HR,2,1.1938005569932777,1.3765087448612312,1.8665012080195749
p001474-2106-09-12-19-32n,RESP,2,2.641819900065867,3.0002042390138777,13.403424240848375
p001474-2106-09-12-19-32n,SpO2,2,0.7644829895839621,0.7955154932378283,0.7799823749573304
p001474-2106-09-22-14-09n,HR,2,1.3707355642446657,1.6391974538337157,2.2086661176461977
p001474-2106-09-22-14-09n,RESP,2,2.934787942599638,3.3589279577855304,18.663681282266868
p001474-2106-09-22-14-09n,SpO2,2,0.2515227230488648,0.39001084353676496,0.25272655658020554
p001501-2146-12-15-19-05n,HR,5,1.8734143762873927,1.9470284514574305,2.3012372706450868
p001501-2146-12-15-19-05n,RESP,5,1.364446235227741,1.5558769799970833,16.859354902181483
p001501-2146-12-15-19-05n,SpO2,5,0.23729182378744867,0.2932016484993384,0.24374726567567925
p001524-2162-09-17-12-57n,HR,5,2.136482255793619,2.688126184581535,2.08605698249375
p001524-2162-09-17-12-57n,RESP,5,8.123494851670051,8.736128000951764,53.122645234780606
p001524-2162-09-17-12-57n,SpO2,5,0.8054315735168472,1.0447257456917542,0.8360152925399026
p001528-2117-10-28-21-58n,HR,1,5.437559396726131,5.5985431800520935,6.677956649747843
p001528-2117-10-28-21-58n,RESP,1,1.4147356234921753,1.8590248552738544,8.641977530872493
p001528-2117-10-28-21-58n,SpO2,1,1.5973324484939055,2.231943462741069,1.6425178778423637
p001557-2115-11-26-18-14n,HR,1,3.3737343156719732,3.924715052446414,4.148188883015245
p001557-2115-11-26-18-14n,RESP,1,1.9055388909467623,2.506173548439492,12.183427417492076
p001557-2115-11-26-18-14n,SpO2,1,1.8375301382446907,3.794662363502534,2.001571562373967
p001586-2184-07-07-20-00n,HR,1,4.953754521464279,5.311786348344536,5.993220917267883
p001586-2184-07-07-20-00n,RESP,1,0.19522670713300147,0.34044224825401215,1.4513524060831207
p001586-2184-07-07-20-00n,SpO2,1,0.3013819315761765,0.33666509121949245,0.3019452092184376
p001604-2196-05-23-14-30n,HR,4,2.853537590363419,3.0732654141021474,4.148447850491939
p001604-2196-05-23-14-30n,RESP,4,2.7521923154655292,2.9645441535595376,9.080096263775806
p001604-2196-05-23-14-30n,SpO2,4,1.029680457494179,1.1495762912927576,1.0893574500465444
p001604-2196-05-28-15-47n,HR,1,3.33807279909216,3.571327427148151,3.5523897270562412
p001604-2196-05-28-15-47n,RESP,1,3.4780653050937973,4.122792346001765,14.379836859695343
p001604-2196-05-28-15-47n,SpO2,1,1.0261967219043,1.1454688866413325,1.087221407171081
p001606-2151-10-19-21-53n,HR,1,1.0021174065034628,1.9224601301586592,0.873930118206356
p001606-2151-10-19-21-53n,RESP,1,1.5656504161216342,1.90265332397287,8.682027932077661
p001606-2151-10-19-21-53n,SpO2,1,3.546703336059484,4.896101400677597,3.8834929064843524
p001758-2183-08-12-13-39n,HR,1,0.3210088285351233,0.34918332594755813,0.3447899675841305
p001758-2183-08-12-13-39n,RESP,1,4.80177552454756,5.8088229974058185,27.473087550242663
p001758-2183-08-12-13-39n,SpO2,1,0.009019514837426357,0.014194339779653285,0.009298468904563253
p001778-2126-12-05-14-14n,HR,5,4.498045971625913,5.40885355552712,5.0279114933517075
p001778-2126-12-05-14-14n,RESP,5,2.1266629843726115,2.967356349467721,9.71665992318234
p001778-2126-12-05-14-14n,SpO2,5,0.5638219027930716,0.6831066343220579,0.6134102274843648
p001785-2140-01-14-14-12n,HR,3,6.535568956794231,7.047103200892966,7.260377135448959
p001785-2140-01-14-14-12n,RESP,3,6.03283851748372,7.871125610739739,73.82305502646189
p001785-2140-01-14-14-12n,SpO2,3,1.173585588431837,1.2891164072361598,1.1817304389756051
p001854-2153-08-25-02-59n,HR,1,3.582641519366658,3.718126491962597,4.131285806565874
p001854-2153-08-25-02-59n,RESP,1,3.550193240795964,4.021329311310661,29.209285124409174
p001854-2153-08-25-02-59n,SpO2,1,0.2980628854891975,0.49866906376856873,0.3096450159738597
p001898-2177-03-06-02-14n,HR,1,3.37012199096785,5.5581994444084,4.928069580988499
p001898-2177-03-06-02-14n,RESP,1,2.0270577011364592,2.3527785451100844,14.11613248927421
p001898-2177-03-06-02-14n,SpO2,1,2.0777660520758743,4.208296433164644,2.300272235153706
p001931-2176-06-11-13-38n,HR,1,0.501524140474524,0.6915208742671123,0.6922011693047825
p001931-2176-06-11-13-38n,RESP,1,3.3740919854128975,4.68219902548009,13.951316309571856
p001931-2176-06-11-13-38n,SpO2,1,0.266821330925643,0.2876120755370748,0.2802702971316934
p001935-2150-07-18-13-29n,HR,5,1.7093116975632854,2.052549351959713,1.8918145564063702
p001935-2150-07-18-13-29n,RESP,5,4.137012609962646,4.994647622507599,22.49246412154325
p001935-2150-07-18-13-29n,SpO2,5,0.9162845048488762,1.0633362359676928,0.9174518117687313
p001950-2176-08-14-15-04n,HR,1,2.5444441310565593,3.043678949060653,3.283804604822432
p001950-2176-08-14-15-04n,RESP,1,3.170753742608383,3.188081381450912,22.648241018631307
p001950-2176-08-14-15-04n,SpO2,1,0.0033421754810618156,0.0033469735223078494,0.003342175481061816
p001978-2133-09-28-06-15n,HR,1,1.2803828745443753,1.5279263627570112,1.125863784982908
p001978-2133-09-28-06-15n,RESP,1,1.5093302870194143,1.8778683718214673,8.357261206176721
p001978-2133-09-28-06-15n,SpO2,1,0.09121791737878766,0.09124511857688536,0.09121791737878768
p002029-2160-02-27-17-40n,HR,2,3.9830878025380785,4.764940614513923,3.9488467777943246
p002029-2160-02-27-17-40n,RESP,2,2.0223683767329486,2.5224129824699015,7.257870377991004
p002029-2160-02-27-17-40n,SpO2,2,0.9237228199206271,0.9953331625015842,0.9341093269710218
p002066-2155-09-09-12-51n,HR,1,1.6756326200089056,1.8983834318611799,2.9078170367194502
p002066-2155-09-09-12-51n,RESP,1,1.1458969263906214,1.4192220289862103,7.655339833489935
p002066-2155-09-09-12-51n,SpO2,1,0.2698729116088785,0.2852725172170413,0.2700607751083969
p002067-2191-03-09-14-58n,HR,2,0.8488793908020057,1.023968883032579,1.1916060581405716
p002067-2191-03-09-14-58n,RESP,2,2.7483203583897677,3.0438182302634873,11.773847992252339
p002067-2191-03-09-14-58n,SpO2,2,0.3561146428312725,0.43531456553914166,0.3627225771205951
p002075-2142-09-21-11-24n,HR,1,2.070068350772439,2.1708559125138387,1.8958487845054863
p002075-2142-09-21-11-24n,RESP,1,1.3009839827124268,1.8758551424351668,3.8947854708990475
p002075-2142-09-21-11-24n,SpO2,1,0.04259024074710567,0.06201278660446873,0.04394289229031433
p002090-2132-02-28-15-59n,HR,2,0.003597509303880031,0.003620208413635565,0.004496886629850039
p002090-2132-02-28-15-59n,RESP,2,1.0473111372599155,1.13782404262136,8.515596826954244
p002090-2132-02-28-15-59n,SpO2,2,0.23218333607055114,0.265243660337319,0.24006227123930915
p002092-2187-10-23-17-30n,HR,2,0.7666320887437678,1.0099832454941424,0.8983521783070224
p002092-2187-10-23-17-30n,RESP,2,0.0762053083134333,0.08115837282311349,0.38102654156716653
p002092-2187-10-23-17-30n,SpO2,2,0.016786720583124293,0.017205884486285204,0.016786720583124293
p002104-2157-05-06-17-33n,HR,3,1.8427502542153675,2.9133528138957563,2.4040851843341624
p002104-2157-05-06-17-33n,RESP,3,2.2160424566312535,3.130791859746777,22.711779825433116
p002104-2157-05-06-17-33n,SpO2,3,0.6326826839481967,1.6551740713045149,0.662341911452274
p002172-2121-11-11-04-06n,HR,1,3.3286193459926023,4.018569964079581,2.4920527262709284
